;SUBJECT_ID;;IP;;;;QUESTION_ID;IMAGE_ID;GT_ANSWER;MODEL;COLOR_COND;GT_CONFORM;DATASET;EXP_LIST;;ANSW_CORRECT;SHAPES;COLORS;MATERIALS;GEN_SCENE;COMPETENT;
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125448;data;"<id:	QUESTION_ID	499400002	";"	IMAGE_ID	499400	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;0;5;5;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714125448;data;"<id:	QUESTION_ID	131020	";"	IMAGE_ID	13102	";"	GT_ANSWER	rubber	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;dc6t07l6l27vr11fqrpis6btjd;ip;82.35.120.80;time;1714125453;data;"<id:	QUESTION_ID	14913	";"	IMAGE_ID	14913	";"	GT_ANSWER	large	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;0;5;5;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125453;data;"<id:	QUESTION_ID	338019000	";"	IMAGE_ID	338019	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714125459;data;"<id:	QUESTION_ID	530875000	";"	IMAGE_ID	530875	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;dc6t07l6l27vr11fqrpis6btjd;ip;82.35.120.80;time;1714125466;data;"<id:	QUESTION_ID	132487	";"	IMAGE_ID	13249	";"	GT_ANSWER	blue	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125467;data;"<id:	QUESTION_ID	130433	";"	IMAGE_ID	13044	";"	GT_ANSWER	green	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;4r6565h2sre9ms5s8mavic3keu;ip;41.193.168.119;time;1714125469;data;"<id:	QUESTION_ID	571034002	";"	IMAGE_ID	571034	";"	GT_ANSWER	cows	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;2;2;2;3;3;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714125474;data;"<id:	QUESTION_ID	200839000	";"	IMAGE_ID	200839	";"	GT_ANSWER	summer	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;2;1;2;1;1;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714125478;data;"<id:	QUESTION_ID	96075000	";"	IMAGE_ID	96075	";"	GT_ANSWER	sunny	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;6ugeqs6e10rp5mvtlg36rd42am;ip;87.41.149.130;time;1714125481;data;"<id:	QUESTION_ID	402357000	";"	IMAGE_ID	402357	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;3;5;4;5;4;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125486;data;"<id:	QUESTION_ID	200839000	";"	IMAGE_ID	200839	";"	GT_ANSWER	summer	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;1;0;1;1;Next
id;4r6565h2sre9ms5s8mavic3keu;ip;41.193.168.119;time;1714125489;data;"<id:	QUESTION_ID	381870001	";"	IMAGE_ID	381870	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;2;2;2;4;3;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714125493;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;6ugeqs6e10rp5mvtlg36rd42am;ip;87.41.149.130;time;1714125504;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;4;3;3;5;4;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714125507;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;4;5;5;5;5;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714125512;data;"<id:	QUESTION_ID	14760	";"	IMAGE_ID	14760	";"	GT_ANSWER	no	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;0;2;1;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125516;data;"<id:	QUESTION_ID	134537	";"	IMAGE_ID	13454	";"	GT_ANSWER	cyan	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;5;5;5;5;5;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125523;data;"<id:	QUESTION_ID	444626005	";"	IMAGE_ID	444626	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;3;1;2;1;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125530;data;"<id:	QUESTION_ID	465795000	";"	IMAGE_ID	465795	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714125533;data;"<id:	QUESTION_ID	14643	";"	IMAGE_ID	14643	";"	GT_ANSWER	red	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714125534;data;"<id:	QUESTION_ID	134288004	";"	IMAGE_ID	134288	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;3;1;1;2;1;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714125534;data;"<id:	QUESTION_ID	117948	";"	IMAGE_ID	11795	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;2;1;0;0;1;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714125537;data;"<id:	QUESTION_ID	200839000	";"	IMAGE_ID	200839	";"	GT_ANSWER	summer	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;dc6t07l6l27vr11fqrpis6btjd;ip;82.35.120.80;time;1714125537;data;"<id:	QUESTION_ID	14643	";"	IMAGE_ID	14643	";"	GT_ANSWER	red	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;1;5;5;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714125540;data;"<id:	QUESTION_ID	14970	";"	IMAGE_ID	14970	";"	GT_ANSWER	cyan	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125547;data;"<id:	QUESTION_ID	530875000	";"	IMAGE_ID	530875	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;2;0;1;1;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125549;data;"<id:	QUESTION_ID	117948	";"	IMAGE_ID	11795	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;5;5;5;5;5;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714125553;data;"<id:	QUESTION_ID	338019000	";"	IMAGE_ID	338019	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;4;5;5;5;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714125555;data;"<id:	QUESTION_ID	338019000	";"	IMAGE_ID	338019	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714125561;data;"<id:	QUESTION_ID	118108	";"	IMAGE_ID	11811	";"	GT_ANSWER	1	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;5;5;5;5;3;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714125562;data;"<id:	QUESTION_ID	118108	";"	IMAGE_ID	11811	";"	GT_ANSWER	1	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;4;0;1;3;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714125566;data;"<id:	QUESTION_ID	402357000	";"	IMAGE_ID	402357	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;2;1;2;2;2;Next
id;dc6t07l6l27vr11fqrpis6btjd;ip;82.35.120.80;time;1714125572;data;"<id:	QUESTION_ID	14907	";"	IMAGE_ID	14907	";"	GT_ANSWER	brown	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;5;1;5;3;1;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125576;data;"<id:	QUESTION_ID	117948	";"	IMAGE_ID	11795	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;0;1;0;1;1;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714125580;data;"<id:	QUESTION_ID	14643	";"	IMAGE_ID	14643	";"	GT_ANSWER	red	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125587;data;"<id:	QUESTION_ID	37688001	";"	IMAGE_ID	37688	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714125590;data;"<id:	QUESTION_ID	381870001	";"	IMAGE_ID	381870	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714125597;data;"<id:	QUESTION_ID	14998	";"	IMAGE_ID	14998	";"	GT_ANSWER	1	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;5;5;5;4;Next
id;4r6565h2sre9ms5s8mavic3keu;ip;41.193.168.119;time;1714125599;data;"<id:	QUESTION_ID	200839000	";"	IMAGE_ID	200839	";"	GT_ANSWER	summer	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;2;1;1;3;3;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714125602;data;"<id:	QUESTION_ID	478736013	";"	IMAGE_ID	478736	";"	GT_ANSWER	no	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;4;4;5;Next
id;dc6t07l6l27vr11fqrpis6btjd;ip;82.35.120.80;time;1714125606;data;"<id:	QUESTION_ID	402357000	";"	IMAGE_ID	402357	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;5;1;5;3;2;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714125606;data;"<id:	QUESTION_ID	77	";"	IMAGE_ID	7	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714125610;data;"<id:	QUESTION_ID	14760	";"	IMAGE_ID	14760	";"	GT_ANSWER	no	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714125611;data;"<id:	QUESTION_ID	14847	";"	IMAGE_ID	14847	";"	GT_ANSWER	no	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;0;4;4;3;1;3;Next
id;dc6t07l6l27vr11fqrpis6btjd;ip;82.35.120.80;time;1714125619;data;"<id:	QUESTION_ID	134288004	";"	IMAGE_ID	134288	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;5;1;1;1;1;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714125619;data;"<id:	QUESTION_ID	134288004	";"	IMAGE_ID	134288	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125622;data;"<id:	QUESTION_ID	14641	";"	IMAGE_ID	14641	";"	GT_ANSWER	rubber	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;0;2;2;2;Next
id;4r6565h2sre9ms5s8mavic3keu;ip;41.193.168.119;time;1714125622;data;"<id:	QUESTION_ID	499400002	";"	IMAGE_ID	499400	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;3;2;2;4;4;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714125623;data;"<id:	QUESTION_ID	117948	";"	IMAGE_ID	11795	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714125623;data;"<id:	QUESTION_ID	130433	";"	IMAGE_ID	13044	";"	GT_ANSWER	green	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714125633;data;"<id:	QUESTION_ID	465795000	";"	IMAGE_ID	465795	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;dc6t07l6l27vr11fqrpis6btjd;ip;82.35.120.80;time;1714125634;data;"<id:	QUESTION_ID	423618001	";"	IMAGE_ID	423618	";"	GT_ANSWER	plastic	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;5;1;1;3;1;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714125636;data;"<id:	QUESTION_ID	134288004	";"	IMAGE_ID	134288	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714125636;data;"<id:	QUESTION_ID	338019000	";"	IMAGE_ID	338019	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;4;5;5;5;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714125641;data;"<id:	QUESTION_ID	77	";"	IMAGE_ID	7	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125643;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;4;4;0;4;4;Next
id;4r6565h2sre9ms5s8mavic3keu;ip;41.193.168.119;time;1714125649;data;"<id:	QUESTION_ID	117948	";"	IMAGE_ID	11795	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;1;1;3;3;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125661;data;"<id:	QUESTION_ID	571034002	";"	IMAGE_ID	571034	";"	GT_ANSWER	cows	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;5;5;5;5;5;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714125666;data;"<id:	QUESTION_ID	444626005	";"	IMAGE_ID	444626	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125669;data;"<id:	QUESTION_ID	305803005	";"	IMAGE_ID	305803	";"	GT_ANSWER	no	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;2;0;1;1;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125673;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714125685;data;"<id:	QUESTION_ID	444626005	";"	IMAGE_ID	444626	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;2;1;1;1;1;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714125690;data;"<id:	QUESTION_ID	14998	";"	IMAGE_ID	14998	";"	GT_ANSWER	1	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;9lf5ed7m02ovi458k7e2mgmskd;ip;115.188.165.154;time;1714125691;data;"<id:	QUESTION_ID	14641	";"	IMAGE_ID	14641	";"	GT_ANSWER	rubber	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;2;2;1;2;1;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714125691;data;"<id:	QUESTION_ID	14847	";"	IMAGE_ID	14847	";"	GT_ANSWER	no	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;4;4;4;5;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714125695;data;"<id:	QUESTION_ID	423618001	";"	IMAGE_ID	423618	";"	GT_ANSWER	plastic	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;4;1;1;4;2;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125698;data;"<id:	QUESTION_ID	77	";"	IMAGE_ID	7	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714125699;data;"<id:	QUESTION_ID	465795000	";"	IMAGE_ID	465795	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;0;0;4;5;Next
id;9lf5ed7m02ovi458k7e2mgmskd;ip;115.188.165.154;time;1714125706;data;"<id:	QUESTION_ID	14998	";"	IMAGE_ID	14998	";"	GT_ANSWER	1	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;0;0;0;0;0;0;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714125718;data;"<id:	QUESTION_ID	305803005	";"	IMAGE_ID	305803	";"	GT_ANSWER	no	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;3;2;2;1;1;Next
id;9lf5ed7m02ovi458k7e2mgmskd;ip;115.188.165.154;time;1714125720;data;"<id:	QUESTION_ID	132487	";"	IMAGE_ID	13249	";"	GT_ANSWER	blue	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;4;4;4;4;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714125721;data;"<id:	QUESTION_ID	571034002	";"	IMAGE_ID	571034	";"	GT_ANSWER	cows	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;4;5;5;4;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714125722;data;"<id:	QUESTION_ID	14641	";"	IMAGE_ID	14641	";"	GT_ANSWER	rubber	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;1;4;4;3;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714125733;data;"<id:	QUESTION_ID	131020	";"	IMAGE_ID	13102	";"	GT_ANSWER	rubber	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;iq2fbn3egjkonvh58qhvpcgr5r;ip;105.216.107.12;time;1714125737;data;"<id:	QUESTION_ID	14907	";"	IMAGE_ID	14907	";"	GT_ANSWER	brown	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;5;5;5;5;5;Next
